chr20	0	1440000
chr20	1680000	2600000
chr20	2600000	3000000
chr20	3120000	4040000
chr20	4080000	5120000
chr20	5160000	6000000
chr20	6040000	7840000
chr20	7880000	8680000
chr20	8680000	9400000
chr20	9880000	10360000
chr20	10360000	11520000
chr20	11520000	13760000
chr20	14000000	16720000
chr20	16720000	17400000
chr20	17400000	18240000
chr20	18480000	19600000
chr20	19600000	20000000
chr20	20000000	20640000
chr20	20760000	22200000
chr20	22240000	23560000
chr20	24000000	24880000
chr20	24920000	26280000
chr20	28080000	30880000
chr20	30880000	31440000
chr20	31440000	31720000
chr20	31840000	32200000
chr20	32360000	32600000
chr20	32600000	32840000
chr20	32840000	33760000
chr20	33760000	34000000
chr20	34000000	34240000
chr20	34280000	35240000
chr20	35240000	35600000
chr20	35600000	36640000
chr20	36640000	39040000
chr20	39200000	39760000
chr20	39760000	41480000
chr20	41520000	42280000
chr20	42280000	42960000
chr20	43040000	44760000
chr20	44760000	45240000
chr20	45240000	45720000
chr20	45720000	47280000
chr20	47320000	48000000
chr20	48000000	49000000
chr20	49000000	49400000
chr20	49400000	49640000
chr20	49640000	50240000
chr20	50240000	51600000
chr20	51600000	52280000
chr20	52280000	52720000
chr20	52760000	54360000
chr20	54360000	55360000
chr20	55360000	56200000
chr20	56200000	57560000
chr20	57880000	60000000
chr20	60000000	60160000
chr20	60400000	60920000
chr20	60920000	61600000
chr20	61600000	62435964
